,title,artist,lyrics
0,Wrong About Bobby,Eels,I was wrong about Bobby
1,Wrong About Bobby,Eels,"I admit he's not the dumbest angry, young nitwit"
2,Wrong About Bobby,Eels,No he can cut it with the best
3,Wrong About Bobby,Eels,And you'd better get out of his way
5,Wrong About Bobby,Eels,His girlfriend keeps him living in
6,Wrong About Bobby,Eels,A world where fear will always win
7,Wrong About Bobby,Eels,And if you see him out tonight
8,Wrong About Bobby,Eels,"Well, you'd better get out of his way"
10,Wrong About Bobby,Eels,You gotta give it up for the new modern man
11,Wrong About Bobby,Eels,He's gonna have a ball
12,Wrong About Bobby,Eels,Give it all that he can
14,Wrong About Bobby,Eels,"Someday he's gonna show us all, I bet"
15,Wrong About Bobby,Eels,Out in the sun while we're all soaking wet
16,Wrong About Bobby,Eels,If it's a dry life that you want
17,Wrong About Bobby,Eels,Then you'd better get out of his way
19,Wrong About Bobby,Eels,You gotta give it up for the new modern man
20,Wrong About Bobby,Eels,He's gonna have a ball
21,Wrong About Bobby,Eels,Give it all that he can
23,Wrong About Bobby,Eels,"I was wrong about Bobby, don't you know"
24,Wrong About Bobby,Eels,He's had it tough and he had to make a go
25,Wrong About Bobby,Eels,But if he doesn't stop fucking with me
26,Wrong About Bobby,Eels,"Well, he'd better get out of my way"
27,Wrong About Bobby,Eels,"Yeah, he'd better get out of my way"
28,Wrong About Bobby,Eels,He'd better get out of my way
29,Funeral Parlor,Eels,Sitting in the funeral parlor
30,Funeral Parlor,Eels,On the night before the day
31,Funeral Parlor,Eels,Think I might have left the stove on
32,Funeral Parlor,Eels,Think I might have left the door unlocked
33,Funeral Parlor,Eels,I don't know if the stores will all be closed
34,Funeral Parlor,Eels,When I get out
35,Funeral Parlor,Eels,I don't know if the chores will all be done
36,Funeral Parlor,Eels,When I get home
38,Funeral Parlor,Eels,Sitting in the funeral parlor
39,Funeral Parlor,Eels,Listen to the organ play
40,Funeral Parlor,Eels,What if I forgot the trash cans
41,Funeral Parlor,Eels,What if I forgot to telephone
42,Funeral Parlor,Eels,I don't know if I wrote the number down
43,Funeral Parlor,Eels,In my book
44,Funeral Parlor,Eels,I don't know if I can stand to stay here
45,Funeral Parlor,Eels,One more second
46,I Like the Way This is Going,Eels,"I like your toothy smile,"
47,I Like the Way This is Going,Eels,It never fails to beguile.
48,I Like the Way This is Going,Eels,Whichever way the wind is blowing
49,I Like the Way This is Going,Eels,I like the way this is going.
51,I Like the Way This is Going,Eels,"I like the color of your hair,"
52,I Like the Way This is Going,Eels,I think we make a handsome pair.
53,I Like the Way This is Going,Eels,I can only see my love growing
54,I Like the Way This is Going,Eels,I like the way this is going
56,I Like the Way This is Going,Eels,"I like to watch TV with you,"
57,I Like the Way This is Going,Eels,There's really nothing that I would rather do.
58,I Like the Way This is Going,Eels,"Then maybe we can go to bed,"
59,I Like the Way This is Going,Eels,Get up and do it all again.
61,I Like the Way This is Going,Eels,"I like the way your pants fit,"
62,I Like the Way This is Going,Eels,"And how you stand and how you sit,"
63,I Like the Way This is Going,Eels,"Whatever seeds that you're sowing,"
64,I Like the Way This is Going,Eels,I like the way this is going.
66,I Like the Way This is Going,Eels,"I don't care about the past,"
67,I Like the Way This is Going,Eels,"None of it was made to last,"
68,I Like the Way This is Going,Eels,"It's not who you've known,"
69,I Like the Way This is Going,Eels,"But who you're knowing,"
71,I Like the Way This is Going,Eels,I like the way this is going
72,I Like the Way This is Going,Eels,I like the way this is going.
73,The Only Thing I Care About,Eels,She had the eyes of someone older
74,The Only Thing I Care About,Eels,I have the eyes that wander 'round
75,The Only Thing I Care About,Eels,I couldn't see what really mattered
77,The Only Thing I Care About,Eels,Caught hell from my boss
78,The Only Thing I Care About,Eels,Don't care about my job
79,The Only Thing I Care About,Eels,Caught a cold from the rain
80,The Only Thing I Care About,Eels,Don't care if I'm cold
81,The Only Thing I Care About,Eels,Played every record that I own today
82,The Only Thing I Care About,Eels,But the only thing I care about got away
84,The Only Thing I Care About,Eels,She was a walking work of art
85,The Only Thing I Care About,Eels,I am a broken wind-up toy
86,The Only Thing I Care About,Eels,I thought I knew what really mattered
88,The Only Thing I Care About,Eels,Got a flat on the road
89,The Only Thing I Care About,Eels,Don't care about my car
90,The Only Thing I Care About,Eels,Lost twenty-six bucks
91,The Only Thing I Care About,Eels,Don't care about my rent
92,The Only Thing I Care About,Eels,Caught every episode on tv today
93,The Only Thing I Care About,Eels,But the only thing I care about got away
95,The Only Thing I Care About,Eels,She had a brilliant future
96,The Only Thing I Care About,Eels,I have a past
97,The Only Thing I Care About,Eels,I have my memories
98,The Only Thing I Care About,Eels,But they're fading fast
99,Jungle Telegraph,Eels,Mama had an epidural 
100,Jungle Telegraph,Eels,Hoping I would be a girl
101,Jungle Telegraph,Eels,The night was black
102,Jungle Telegraph,Eels,The sky was booming
103,Jungle Telegraph,Eels,Darker clouds were surely looming
104,Jungle Telegraph,Eels,I heard screaming
105,Jungle Telegraph,Eels,Doctor shouts
106,Jungle Telegraph,Eels,And baby then I came out
108,Jungle Telegraph,Eels,And here I am
110,Jungle Telegraph,Eels,Found my way down the street
111,Jungle Telegraph,Eels,Chicken hawk's favorite meat
112,Jungle Telegraph,Eels,The man was big
113,Jungle Telegraph,Eels,The gun was loaded
114,Jungle Telegraph,Eels,He had cash but never showed it
115,Jungle Telegraph,Eels,I heard screaming
116,Jungle Telegraph,Eels,Bleeding throat
117,Jungle Telegraph,Eels,And baby I got on the boat
119,Jungle Telegraph,Eels,And here I am
121,Jungle Telegraph,Eels,Now I'm up here in the trees
122,Jungle Telegraph,Eels,Shakin' off the bugs and fleas
123,Jungle Telegraph,Eels,The days are long
124,Jungle Telegraph,Eels,The sun is beating
125,Jungle Telegraph,Eels,Each day I don't die is cheating
126,Jungle Telegraph,Eels,Send me some lovin'
127,Jungle Telegraph,Eels,Send me some lovin'
128,Jungle Telegraph,Eels,Send it now
130,Jungle Telegraph,Eels,Send it by giraffe 
131,Jungle Telegraph,Eels,Or jungle telegraph
132,Birdgirl on a Cell Phone,Eels,She has eyes disability blue
133,Birdgirl on a Cell Phone,Eels,A German dog and strict curfew
134,Birdgirl on a Cell Phone,Eels,And if one man's cage is another man's stage
135,Birdgirl on a Cell Phone,Eels,Then she's turned the script to another page
136,Birdgirl on a Cell Phone,Eels,And she doesn't really give a damn
137,Birdgirl on a Cell Phone,Eels,What you have to say
139,Birdgirl on a Cell Phone,Eels,She makes a call on her friend's cell phone
140,Birdgirl on a Cell Phone,Eels,"The operator answers and says ""You're not alone"""
141,Birdgirl on a Cell Phone,Eels,And if one man's ceiling is another's dance floor
142,Birdgirl on a Cell Phone,Eels,Then she'll be the one running to the sea shore
143,Birdgirl on a Cell Phone,Eels,Trying to tell the seagulls
144,Birdgirl on a Cell Phone,Eels,This is home
146,Birdgirl on a Cell Phone,Eels,And if one man's cage is another man's stage
147,Birdgirl on a Cell Phone,Eels,Then she'll be the one wiser than her age
148,Birdgirl on a Cell Phone,Eels,Trying to get the message to your ear
149,Your Lucky Day In Hell,Eels,Mama grapped onto the milkman's hand
150,Your Lucky Day In Hell,Eels,And then she finally gave birth
151,Your Lucky Day In Hell,Eels,Years go by still I don't know
152,Your Lucky Day In Hell,Eels,Who shall inherit this earth
153,Your Lucky Day In Hell,Eels,And no one will know my name until it's on a stone
155,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
156,Your Lucky Day In Hell,Eels,Never know who it might be at your doorbell
157,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
159,Your Lucky Day In Hell,Eels,Waking up with an ugly face
160,Your Lucky Day In Hell,Eels,Winston Churchill in drag
161,Your Lucky Day In Hell,Eels,Looking for a new maternal embrace
162,Your Lucky Day In Hell,Eels,Another tired old gag
163,Your Lucky Day In Hell,Eels,Am I just a walking bag of chewed up dust and bones
165,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
166,Your Lucky Day In Hell,Eels,Never know who it might be at your doorbell
167,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
169,Your Lucky Day In Hell,Eels,Father Theresa you can't make me into you
170,Your Lucky Day In Hell,Eels,I never want to be like you
171,Your Lucky Day In Hell,Eels,Why can't you see it's me
172,Your Lucky Day In Hell,Eels,You know it's time to let me go
174,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
175,Your Lucky Day In Hell,Eels,Never know who it might be at your doorbell
176,Your Lucky Day In Hell,Eels,This could be your lucky day in hell
177,What is This Note?,Eels,The sun kisses the morning dew
178,What is This Note?,Eels,Just the way that I'm kissing you
179,What is This Note?,Eels,The birds are tweeting in sweet harmony
180,What is This Note?,Eels,Teaching the free world how to be free
182,What is This Note?,Eels,The day is new and a good one too
183,What is This Note?,Eels,How can I prove my love to you
184,What is This Note?,Eels,I want to give you everything
185,What is This Note?,Eels,Me and the birds
186,What is This Note?,Eels,Now we're gonna sing
188,What is This Note?,Eels,When I wake up to your beautiful smile
189,What is This Note?,Eels,Sometimes it takes me a little while
190,What is This Note?,Eels,To realize that I am awake
191,What is This Note?,Eels,And that living today will be
192,What is This Note?,Eels,A piece of cake
194,What is This Note?,Eels,And I won't keep you for myself
195,What is This Note?,Eels,No you're not a toy on my shelf
196,What is This Note?,Eels,The world needs to know that you're here
197,What is This Note?,Eels,"So spread your wings and fly, my dear"
199,What is This Note?,Eels,The day is new and a good one too
200,What is This Note?,Eels,How can I prove my love to you
201,What is This Note?,Eels,I want to give you everything
202,What is This Note?,Eels,Me and the birds
