,title,artist,lyrics
0,Wrong About Bobby,Eels,"I was wrong about Bobby
I admit he's not the dumbest angry, young nitwit
No he can cut it with the best
And you'd better get out of his way

His girlfriend keeps him living in
A world where fear will always win
And if you see him out tonight
Well, you'd better get out of his way

You gotta give it up for the new modern man
He's gonna have a ball
Give it all that he can

Someday he's gonna show us all, I bet
Out in the sun while we're all soaking wet
If it's a dry life that you want
Then you'd better get out of his way

You gotta give it up for the new modern man
He's gonna have a ball
Give it all that he can

I was wrong about Bobby, don't you know
He's had it tough and he had to make a go
But if he doesn't stop fucking with me
Well, he'd better get out of my way
Yeah, he'd better get out of my way
He'd better get out of my way"
1,Funeral Parlor,Eels,"Sitting in the funeral parlor
On the night before the day
Think I might have left the stove on
Think I might have left the door unlocked
I don't know if the stores will all be closed
When I get out
I don't know if the chores will all be done
When I get home

Sitting in the funeral parlor
Listen to the organ play
What if I forgot the trash cans
What if I forgot to telephone
I don't know if I wrote the number down
In my book
I don't know if I can stand to stay here
One more second"
2,I Like the Way This is Going,Eels,"I like your toothy smile,
It never fails to beguile.
Whichever way the wind is blowing
I like the way this is going.

I like the color of your hair,
I think we make a handsome pair.
I can only see my love growing
I like the way this is going

I like to watch TV with you,
There's really nothing that I would rather do.
Then maybe we can go to bed,
Get up and do it all again.

I like the way your pants fit,
And how you stand and how you sit,
Whatever seeds that you're sowing,
I like the way this is going.

I don't care about the past,
None of it was made to last,
It's not who you've known,
But who you're knowing,

I like the way this is going
I like the way this is going."
3,The Only Thing I Care About,Eels,"She had the eyes of someone older
I have the eyes that wander 'round
I couldn't see what really mattered

Caught hell from my boss
Don't care about my job
Caught a cold from the rain
Don't care if I'm cold
Played every record that I own today
But the only thing I care about got away

She was a walking work of art
I am a broken wind-up toy
I thought I knew what really mattered

Got a flat on the road
Don't care about my car
Lost twenty-six bucks
Don't care about my rent
Caught every episode on tv today
But the only thing I care about got away

She had a brilliant future
I have a past
I have my memories
But they're fading fast"
4,Jungle Telegraph,Eels,"Mama had an epidural 
Hoping I would be a girl
The night was black
The sky was booming
Darker clouds were surely looming
I heard screaming
Doctor shouts
And baby then I came out

And here I am

Found my way down the street
Chicken hawk's favorite meat
The man was big
The gun was loaded
He had cash but never showed it
I heard screaming
Bleeding throat
And baby I got on the boat

And here I am

Now I'm up here in the trees
Shakin' off the bugs and fleas
The days are long
The sun is beating
Each day I don't die is cheating
Send me some lovin'
Send me some lovin'
Send it now

Send it by giraffe 
Or jungle telegraph"
5,Birdgirl on a Cell Phone,Eels,"She has eyes disability blue
A German dog and strict curfew
And if one man's cage is another man's stage
Then she's turned the script to another page
And she doesn't really give a damn
What you have to say

She makes a call on her friend's cell phone
The operator answers and says ""You're not alone""
And if one man's ceiling is another's dance floor
Then she'll be the one running to the sea shore
Trying to tell the seagulls
This is home

And if one man's cage is another man's stage
Then she'll be the one wiser than her age
Trying to get the message to your ear"
6,Your Lucky Day In Hell,Eels,"Mama grapped onto the milkman's hand
And then she finally gave birth
Years go by still I don't know
Who shall inherit this earth
And no one will know my name until it's on a stone

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell

Waking up with an ugly face
Winston Churchill in drag
Looking for a new maternal embrace
Another tired old gag
Am I just a walking bag of chewed up dust and bones

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell

Father Theresa you can't make me into you
I never want to be like you
Why can't you see it's me
You know it's time to let me go

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell"
7,What is This Note?,Eels,"The sun kisses the morning dew
Just the way that I'm kissing you
The birds are tweeting in sweet harmony
Teaching the free world how to be free

The day is new and a good one too
How can I prove my love to you
I want to give you everything
Me and the birds
Now we're gonna sing

When I wake up to your beautiful smile
Sometimes it takes me a little while
To realize that I am awake
And that living today will be
A piece of cake

And I won't keep you for myself
No you're not a toy on my shelf
The world needs to know that you're here
So spread your wings and fly, my dear

The day is new and a good one too
How can I prove my love to you
I want to give you everything
Me and the birds
Now we're gonna sing"
8,Spunky,Eels,"Spunky don't like her uniform
It never fit so good
Going back to the orphanage
And the place where her garage once stood 

Well it's a free-for-all
Free-for-all, free-for-all
It's a free-for-all you and me
And if you don't like what they are telling you
You can't teach a blind man to see 
Well I can see 

Spunky looks good in her bright red wig
Eating chocolate chip mint ice cream
A cat named lola with a violent past
Is balled-up asleep 'cross her knees 

And it's a free-for-all
Free-for-all, free-for-all
It's a free-for-all you and me
One day the world will be ready for you
And wonder how they didn't see 

Spunky knows she can save the world
In her own little way
Turning in her old uniform
'cause you know it really didn't pay 

'cause it's a free-for-all
Free-for-all, free-for-all
It's a free-for-all you and me
I'll walk through the world with your name on my tongue
And your picture etched on my screen"
9,Christmas is Going To the Dogs,Eels,"Get off your sled and go to bed, don't you ever tire?
Throw a bone, I'm finally home curled up by the fire
Snow is falling from the sky like ashes from an urn
Sweet dreams, my little one now it's my turn

Well, Christmas is going to the dogs
We'd rather have chew toys than yule logs
And things aren't looking very good, it's true
So, I'll just lay here and chew

Now, when I sleep I like to dream of rabbits in the snow
Jumping right into my jaws from their rabbit hole
Take one home and set him down right next to your shoes
Wake up to a big surprise my gift to you

And Christmas is going to the dogs
We'd rather have chew toys than yule logs
And things aren't looking very good, it's true
So, I'll just lay here and chew

And Christmas is going to the dogs
We're scarfing down the turkey and egg-nog
And things aren't looking very good, it's true
So, I'll just lay here and chew
So, I'll just stay here and chew"
